,id,click,hour,search_engine_type,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,product_type,C20,advertiser_type
9892114,2.1544931502023002e+18,0,14102303,1005,1,e4d8dd7b,a17bde68,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,bc6e4456,b9b66aec,1,0,21913,320,50,2528,0,35,100074,221
21264979,8.278173324771472e+18,0,14102608,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9bb7ab3b,d3f863ba,1,0,19771,320,50,2227,0,679,100074,48
32561679,5.316241925383664e+18,0,14102901,1005,0,85f751fd,c4e18dd6,50e219e0,95b5e741,c6824def,cef3e649,a99f214a,fd4ce9ef,bbeedfee,1,0,20984,320,50,2371,0,559,-1,46
26654630,4.4923261472229806e+18,0,14102719,1010,1,85f751fd,c4e18dd6,50e219e0,04f2be5f,7801e8d9,0f2161f8,0b8ac706,984532dc,f07e20f8,4,3,21330,320,50,2454,0,161,100155,91
4894767,2.213769607719559e+18,0,14102205,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0ab33418,d787e91b,1,0,21762,320,50,2502,0,35,100084,221
16016223,3.53230252063022e+18,0,14102416,1005,1,57ef2c87,bd6d812f,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b8945d73,c5cc73c1,1,0,16208,320,50,1800,3,167,100081,23
13668590,1.4768805022569185e+19,0,14102403,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,295d28b0,36b67a2a,1,0,16352,320,50,1823,1,167,100003,71
10882101,1.7209361141120834e+19,0,14102308,1005,1,5114c672,3f2f3819,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9fe972ee,1f0bc64f,1,0,19771,320,50,2227,0,679,100074,48
19392109,1.313319214753114e+19,0,14102518,1002,0,85f751fd,c4e18dd6,50e219e0,4e02fbd3,7801e8d9,07d7df22,b854e2a4,24c5b554,eb4d3131,0,0,22371,320,50,2580,0,171,100228,108
30847271,1.2446294941431126e+19,0,14102816,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,74baf8f5,e24c8b65,1,2,18095,320,50,2060,3,39,100105,23
36428732,1.676182268227342e+19,0,14103002,1005,0,85f751fd,c4e18dd6,50e219e0,6fc85e22,7801e8d9,0f2161f8,a99f214a,deb7aca6,bc8f5d71,1,0,23725,320,50,2716,3,47,-1,23
39582571,1.3080343056031672e+19,0,14103017,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,cbf6ef8b,76dc4769,1,0,23161,320,50,2667,0,47,-1,221
17126916,1.2153664075637527e+19,0,14102506,1005,1,d9da8e21,923de9a2,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,2f323f36,3bb1ddd7,1,0,9478,320,50,906,3,1451,100156,61
4835198,1.5385582730993848e+19,0,14102205,1002,0,5b787406,f3ca2e42,50e219e0,ecad2386,7801e8d9,07d7df22,673bdb41,2e25b511,862233dd,0,0,21595,320,50,2478,3,167,100074,23
1768121,3.334670527453418e+18,0,14102108,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,0a0aa5a1,4ea23a13,1,0,15705,320,50,1722,0,35,-1,79
16332712,7.188219069288658e+18,0,14102417,1005,0,6fcff501,b9c4ab81,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,009a7861,bb2ea497,1,0,22246,320,50,2566,3,41,100156,42
102917,7.753987730948353e+18,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,e39ddd14,2347f47a,879c24eb,62e9dbe6,eda093ae,04f5b394,1,0,18993,320,50,2161,0,35,100034,157
13304059,5.024628022122268e+18,0,14102323,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e4b5442b,5db079b5,1,2,15702,320,50,1722,0,35,100084,79
30746979,6.542046754168562e+17,0,14102815,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,1b40351b,8ce34352,1,0,22758,320,50,2639,2,35,-1,23
26899755,8.490398837876131e+18,0,14102721,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,5501ad95,496515fa,1,3,21191,320,50,2424,1,161,100189,71
30725842,5.3027602451341344e+17,0,14102815,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,eafa292d,d4897fef,1,0,22811,320,50,2647,2,35,100148,23
5451418,3.8262526540076733e+18,0,14102207,1005,1,17caea14,0dde25ec,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2ba00486,4bb535bd,1,0,21153,320,50,2420,2,35,100119,69
18307522,1.599336461356396e+18,1,14102513,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1a7e5eb5,6332421a,1,0,20108,320,50,2299,2,1327,100084,52
30171716,1.1546261982848072e+19,0,14102814,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,17ae77bc,c3f7117b,1,0,23441,320,50,2685,1,33,-1,212
24682899,9.608990279068086e+18,0,14102706,1005,0,83a0ad1a,5c9ae867,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,f4372e05,684581ce,1,0,16208,320,50,1800,3,167,100075,23
25121728,5.2943209568738016e+17,0,14102709,1005,1,85f751fd,c4e18dd6,50e219e0,cf0327f9,2347f47a,0f2161f8,be778795,1f9d801a,05b9fa1b,1,0,22558,300,50,1863,3,39,-1,23
32998151,1.3453476645784855e+19,0,14102904,1005,0,85f751fd,c4e18dd6,50e219e0,685d1c4c,2347f47a,8ded1f7a,a99f214a,ff89b1f4,684581ce,1,2,23222,320,50,2676,0,35,100176,221
1970397,1.9196906233961446e+18,0,14102109,1005,0,85f751fd,c4e18dd6,50e219e0,3f2a6cbb,33da2e74,cef3e649,a99f214a,285aa37d,3bb1ddd7,1,0,19733,320,50,2260,0,171,100156,91
16817157,9.373266981654049e+17,1,14102501,1005,0,d6137915,bb1ef334,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,29e9db69,ce576f14,1,0,16920,320,50,1899,0,431,100077,117
18555209,1.6541410340642415e+19,1,14102514,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,1d142d34,945dd5c4,1,0,17654,300,250,1994,2,39,100083,33
17676548,1.354046886178812e+18,0,14102510,1010,1,85f751fd,c4e18dd6,50e219e0,03a08c3f,7801e8d9,0f2161f8,a206e69e,6b9769f2,dc780755,4,3,15701,320,50,1722,0,35,-1,79
4133382,1.2197301730148545e+19,0,14102200,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1d47954d,553f099b,1,0,21763,320,50,2502,0,35,-1,221
9351030,7.567778494649811e+18,0,14102222,1002,0,1c504501,c9816b96,50e219e0,ecad2386,7801e8d9,07d7df22,5715af59,9248cda4,7c170de9,0,0,17893,320,50,2039,2,39,100076,32
4328065,1.4239459205656713e+19,1,14102202,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,9fd9643d,1f0bc64f,1,0,20362,320,50,2333,0,39,-1,157
263474,1.057131449304911e+19,0,14102102,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e5b292ae,8a4875bd,1,0,16208,320,50,1800,3,167,100075,23
18409137,6.482773696875922e+18,0,14102513,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ceffea69,76dc4769,1,0,15705,320,50,1722,0,35,-1,79
15915034,1.346682808583437e+19,0,14102416,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,d25693ce,1,0,15703,320,50,1722,0,35,-1,79
24300762,4.516239945211981e+18,1,14102704,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4ccac309,779d90c2,1,0,4687,320,50,423,2,39,100148,32
40420135,8.266559254094469e+17,1,14103023,1002,0,85f751fd,c4e18dd6,50e219e0,c73fb408,7801e8d9,07d7df22,9a20b673,714f2a98,2625189a,0,0,22328,320,50,2577,2,167,-1,23
13926725,1.0839221763266073e+19,0,14102405,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,2d24a321,36b67a2a,1,0,21818,320,50,2519,1,171,100191,71
39434733,1.7534999934441116e+19,0,14103016,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,683f90b6,fce66524,1,0,22815,320,50,2647,2,39,100148,23
10757233,7.527650612182401e+18,0,14102307,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,07c54a64,36b8f4c5,1,0,22009,320,50,2535,0,675,100075,48
32696129,5.29022370195875e+18,0,14102902,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,a7281878,553f099b,1,0,22258,320,50,2545,0,167,-1,221
1671598,1.21739121702383e+19,0,14102108,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7d78f534,1ccc7835,1,0,21665,320,50,2493,3,35,-1,117
16194243,1.5030931040174723e+19,0,14102417,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,786739dd,3bd9e8e7,1,0,15699,320,50,1722,0,35,-1,79
8694100,1.6796338374281122e+19,0,14102218,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ba8ce739,909d8f37,1,0,19771,320,50,2227,0,679,100081,48
13220663,6.845848583581188e+18,0,14102322,1005,1,d6310c65,3adc78f9,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c76e9e3a,36b67a2a,1,0,20995,320,50,2369,0,809,100111,46
17942577,3.7890513302906696e+18,0,14102511,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,25d141c0,e1eae715,1,3,21191,320,50,2424,1,161,100192,71
38558545,7.537016659407226e+18,0,14103012,1005,0,85f751fd,c4e18dd6,50e219e0,48cd6b3e,2347f47a,0f2161f8,a99f214a,6d00189b,7abbbd5c,1,3,20476,320,50,2348,3,427,100003,61
37115761,4.1731736606480845e+18,0,14103005,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,36880229,107a92bf,7abbbd5c,1,0,23804,320,50,2726,3,803,-1,229
10160703,4.675400337877614e+18,0,14102304,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3cc5c519,8a4875bd,1,0,21916,320,50,2528,0,35,100076,221
33439996,1.2887478379653499e+19,0,14102907,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b2a0f2da,4962150e,1,0,23635,320,50,2708,2,35,-1,23
9886236,1.8202648743125547e+19,0,14102303,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6995465d,a0f5f879,1,0,15704,320,50,1722,0,35,100084,79
16151273,1.2305670105832182e+19,0,14102417,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,5de0601c,aad45b01,1,0,16685,320,50,1092,3,811,100156,61
6562381,3.3221551058940124e+18,0,14102210,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,236466fc,b4bd0988,3a07b300,1,0,21770,320,50,2507,0,35,-1,157
25613422,1.6005256941044558e+19,1,14102713,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e717ffa1,711ee120,1,0,20108,320,50,2299,2,1327,-1,52
12645152,1.5367363520652755e+19,0,14102318,1005,0,85f751fd,c4e18dd6,50e219e0,ce183bbd,ae637522,cef3e649,a99f214a,c0a44169,36b67a2a,1,0,16350,320,50,1823,1,167,100005,71
16185559,1.448639049517311e+19,0,14102417,1005,0,85f751fd,c4e18dd6,50e219e0,98fed791,d9b5648e,0f2161f8,a99f214a,2a76965d,0135c685,1,0,20391,320,50,2340,3,41,100111,159
1630689,8.911944202738266e+18,0,14102107,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,f9178843,c136b9bf,1,0,19251,320,50,2201,3,35,-1,43
7778869,5.958708039357402e+18,0,14102213,1005,1,16c73019,8025317b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7ff52d86,3e176bb5,1,0,21769,320,50,2507,0,35,-1,157
19588258,1.5582155117296816e+19,0,14102519,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,124219ec,ff065cf0,1,2,22254,320,50,2545,0,167,-1,221
6488463,1.7118826651814531e+19,0,14102210,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,1b306b57,2d7a20eb,db4764fc,1,0,21770,320,50,2507,0,35,-1,157
15040724,7.512827730190467e+18,0,14102411,1005,0,85f751fd,c4e18dd6,50e219e0,a4869716,2347f47a,d1327cf5,a99f214a,47d2f3c4,33c9c797,1,2,377,320,50,112,3,1319,-1,15
17874019,1.456800563962761e+18,0,14102511,1005,0,85f751fd,c4e18dd6,50e219e0,53de0284,d9b5648e,0f2161f8,a99f214a,5ea4fbb7,f4fffcd0,1,0,17109,320,50,1946,1,43,100057,71
40428573,9.922624699450898e+18,0,14103023,1005,0,85f751fd,c4e18dd6,50e219e0,7e7baafa,2347f47a,0f2161f8,a99f214a,57fc95e1,1f0bc64f,1,0,23866,320,50,2736,0,33,100170,246
430023,7.29993207799344e+18,1,14102102,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,61831c4c,711ee120,1,0,15704,320,50,1722,0,35,-1,79
37472998,1.8861198230862446e+18,0,14103007,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3a16c04a,fce66524,1,0,22832,320,50,2647,2,39,100148,23
17037330,1.489303887489419e+18,0,14102505,1010,1,85f751fd,c4e18dd6,50e219e0,8c329214,7801e8d9,0f2161f8,53e1f5dc,0ab24a80,6f21a189,4,0,22491,320,50,2590,2,35,-1,93
34835337,1.3489109404992154e+19,0,14102914,1005,0,85f751fd,c4e18dd6,50e219e0,e2fcccd2,5c5a694b,0f2161f8,8c5a5e51,633b3117,7abbbd5c,1,0,6560,320,50,571,2,39,-1,32
7534433,9.997182386967296e+18,0,14102212,1005,0,85f751fd,c4e18dd6,50e219e0,4b08f369,2347f47a,0f2161f8,a99f214a,fcb4ce9b,5db079b5,1,2,21767,320,50,2506,0,35,-1,157
3209118,1.6410453898240748e+19,1,14102116,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6b9769f2,8a4875bd,1,0,21732,320,50,2502,0,35,-1,221
895319,8.33078325687593e+18,1,14102104,1002,0,84c7ba46,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,c357dbff,a2e332d9,373ecbe6,0,0,21681,320,50,2496,3,167,100191,23
13099124,4.93362899258429e+18,0,14102321,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,f7b3d643,2ea4f8ba,1,0,21611,320,50,2480,3,297,100111,61
27234519,3.390973052452441e+18,0,14102801,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,4c1e309d,5793a49d,24f6b932,1,0,16688,320,50,1873,3,39,-1,23
16816755,9.288945923708854e+17,0,14102501,1005,0,93eaba74,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,3e44041f,84ebbcd4,1,0,17653,300,250,1994,2,39,-1,33
18035359,1.158168634571658e+19,0,14102512,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,2a431628,38a73904,1,0,22468,320,50,2589,0,171,100005,156
33396710,9.609581849079476e+18,0,14102906,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,c26cdddd,bbeedfee,1,0,21611,320,50,2480,3,297,100111,61
1426663,9.399252449542724e+18,1,14102106,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b9409c18,24f6b932,1,0,15704,320,50,1722,0,35,100084,79
6125801,3.503931952337316e+18,0,14102209,1005,0,4e7614cf,c1aa3c04,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d134751c,8ef046ab,1,0,21764,216,36,2506,0,35,-1,157
14096659,1.1020858911245724e+19,0,14102406,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,488a9a3e,2203a096,1,0,21724,320,50,2502,0,39,-1,221
2244959,6.867985061516834e+18,0,14102110,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,93e0c96e,c6294116,1c6a881d,1,2,19493,320,50,2229,0,687,100031,48
37068008,1.7550412956688994e+19,1,14103005,1005,0,6399eda6,968765cd,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c04f7ad7,00b1f3a7,1,0,23722,320,50,2716,3,47,-1,23
36140153,1.4771472887727333e+19,0,14102923,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,53df0ed1,e9b8d8d7,1,0,17747,320,50,1974,2,39,100021,33
9750854,4.507367032037791e+17,0,14102302,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ff1c4f79,8a4875bd,1,0,21724,320,50,2502,0,35,-1,221
35902585,6.757260415425542e+18,0,14102920,1005,1,ba9aee1b,9eaf88fa,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,da8aef65,1ccc7835,1,0,22681,320,50,2528,0,167,100075,221
6772695,1.1440039317062998e+19,0,14102211,1005,0,6c5b482c,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,9499bd49,84ebbcd4,1,0,17654,300,250,1994,2,39,100083,33
29834484,1.5030991012931676e+19,0,14102813,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c4783c8c,04258293,1,0,19771,320,50,2227,0,935,-1,48
22648900,9.6769474782666e+18,0,14102614,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1d96e14e,a0f5f879,1,0,20108,320,50,2299,2,1327,100084,52
31388709,1.1338034877810661e+19,0,14102818,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,1ccfa4f9,b4b19c97,1,0,21611,320,50,2480,3,297,100111,61
36347104,2.4001080270315423e+18,1,14103001,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,b825bca3,6332421a,1,0,15708,320,50,1722,0,35,100083,79
8057124,1.1208176913852223e+19,0,14102215,1005,1,a7853007,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,930ec31d,03683bd4,1,0,9478,320,50,906,3,1451,100156,61
3956772,9.281549508244768e+17,0,14102121,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,f832adc6,c4cca47d,1,0,15701,320,50,1722,0,35,-1,79
19668116,9.828363158406724e+18,1,14102519,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e30e04df,d787e91b,1,0,17014,320,50,1872,3,39,-1,23
25870561,1.6638366409922628e+19,0,14102715,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e30e04df,1b13b020,1,0,17014,320,50,1872,3,39,-1,23
20117504,1.3304191563086236e+18,0,14102601,1005,0,4bf5bbe2,6b560cc1,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,1e35d33d,1aa0e912,1,0,19592,320,50,2242,3,167,-1,23
22773770,3.055265252506143e+18,0,14102615,1005,0,85f751fd,c4e18dd6,50e219e0,396df801,2347f47a,0f2161f8,a99f214a,f50e5182,4ea23a13,1,0,15707,320,50,1722,0,35,100084,79
15527305,1.6772407106205374e+19,0,14102414,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,7586d544,7abbbd5c,1,0,16615,320,50,1863,3,39,100188,23
18584900,1.969732915410775e+18,0,14102514,1005,0,85f751fd,c4e18dd6,50e219e0,47f20336,2347f47a,0f2161f8,53180421,7207f435,8f1db0bc,1,2,20093,300,250,2295,2,35,100076,23
28918232,1.0218249647698145e+19,0,14102810,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e960dcd6,78d9bd10,1,0,22683,320,50,2528,0,39,100077,221
